epoch,step,val_loss
0,0,1.18666672706604
0,1,0.7515420317649841
1,2,0.793515682220459
1,3,0.8237562775611877
2,4,0.7463157773017883
2,5,0.6896741986274719
3,6,0.7279911041259766
3,7,0.787110447883606
4,8,0.801670253276825
4,9,0.7851721048355103
5,10,0.7475112676620483
5,11,0.7129179239273071
6,12,0.6921555995941162
6,13,0.6844403147697449
7,14,0.6856552362442017
7,15,0.6891147494316101
8,16,0.6898564696311951
8,17,0.6882175207138062
9,18,0.6850834488868713
9,19,0.6815080046653748
10,20,0.6797648668289185
10,21,0.6806561350822449
11,22,0.6843218803405762
11,23,0.6890864372253418
12,24,0.6930912733078003
12,25,0.6968700885772705
13,26,0.6989576816558838
13,27,0.6987149119377136
14,28,0.6975212097167969
14,29,0.6936855316162109
15,30,0.6896694898605347
15,31,0.6852765679359436
16,32,0.6816196441650391
16,33,0.6788464188575745
17,34,0.6772830486297607
17,35,0.6760681867599487
18,36,0.6751960515975952
18,37,0.6747017502784729
19,38,0.674247145652771
19,39,0.6739748120307922
